status_id,status_message,link_name,status_type,status_link,status_published,num_likes,num_comments,num_shares
5281959998_10150947602419999,"""America's rich are richer than the rich almost anywhere else. Its poor are still poorer than the poor of its peers in the developed world.""

Read on in The New York Times Opinion Section.",Richer but Not Better Off,link,http://www.nytimes.com/2016/10/30/opinion/sunday/richer-but-not-better-off.html?smid=fb-nytimes&smtyp=cur,2016-10-30 15:25:03,1325,131,841
5281959998_10150947583409999,"""This is where history can give us solace,"" Doris Kearns Goodwin says. ""When parties split up, as the Whigs did in the 1850s, over slavery, we got the Republican Party and Abraham Lincoln, our greatest leader.""",Rachel Maddow and Doris Kearns Goodwin on a Presidential Race for the History Books,link,http://www.nytimes.com/2016/10/30/fashion/table-for-three-rachel-maddow-doris-kearns-goodwin-presidential-election.html?smid=fb-nytimes&smtyp=cur,2016-10-30 14:55:01,2507,120,597
5281959998_10150947768164999,"An earthquake, believed to be the strongest to hit Italy since 1980, struck the center of the country 4 days after 2 back-to-back quakes.",Powerful Earthquake Hits an Already Rattled Italy,link,http://www.nytimes.com/2016/10/31/world/europe/italy-earthquake-norcia.html?smid=fb-nytimes&smtyp=cur,2016-10-30 14:16:02,546,84,322
5281959998_10150947724899999,The FBI director's announcement of newly discovered emails related to Hillary Clinton has raised many questions. Here are answers to some of them.,10 Questions (and Answers) About the New Email Trove,link,http://www.nytimes.com/2016/10/31/us/politics/fbi-hillary-clinton-emails.html?smid=fb-nytimes&smtyp=cur,2016-10-30 13:55:01,543,397,250
5281959998_10150947541374999,"His OkCupid message didn't impress her, and their first date was at his work. But love won out in the end.",Geneviève DeBose and Tosin Akinnagbe: He’s No Shakespeare. Romeo? Maybe.,link,http://www.nytimes.com/2016/10/30/fashion/weddings/genevieve-debose-and-tosin-akinnagbe-hes-no-shakespeare-romeo-maybe.html?smid=fb-nytimes&smtyp=cur,2016-10-30 13:25:00,332,11,20
5281959998_10150947557789999,"The FBI – Federal Bureau of Investigation's ""job is to investigate, not to influence the outcome of an election.""

Read on in The New York Times Opinion Section.","On Clinton Emails, Did the F.B.I. Director Abuse His Power?",link,http://www.nytimes.com/2016/10/30/opinion/on-clinton-emails-did-the-fbi-director-abuse-his-power.html?smid=fb-nytimes&smtyp=cur,2016-10-30 12:55:00,8873,1694,2814
5281959998_10150947546534999,"The lime-green buses once ferried Syrians to school, work and dates at cafes. Now they pull up at moments of defeat. As part of a deal with the government, thousands of opposition supporters have been forced to leave their cities on the buses. Here, one man rides a bus out of town.",‘Doom’ or the Green Bus,video,https://www.facebook.com/nytimes/videos/10150947546534999/,2016-10-30 12:25:00,152,37,68
5281959998_10150947618144999,"Anthony Weiner is ""like a recurring nightmare,"" the Reverend Al Sharpton said. ""It's like one of those 'Damien' movies — it's like every time you think he's dead, he keeps coming again.""","For Democrats, Anthony Weiner Makes an Unwelcome Return",link,http://www.nytimes.com/2016/10/31/us/politics/anthony-weiner-democratic-reaction.html?smid=fb-nytimes&smtyp=cur,2016-10-30 12:10:00,2378,685,398
5281959998_10150947593479999,It is a necessary trip for any homeowner: a visit to the town building office to obtain the proper permits for upgrades. Hillary and Bill Clinton apparently skipped that required step.,"Clintons Did Not Obtain Permits to Renovate Their New Chappaqua Home, Records Show",link,http://www.nytimes.com/2016/10/30/us/politics/chappaqua-clinton-home.html?smid=fb-nytimes&smtyp=cur,2016-10-30 11:55:00,1166,3285,905
5281959998_10150947540324999,"""In the end, people who favor free trade survived to fight another day.""","Canada and E.U. Sign Trade Deal, Bucking Resistance to Globalization",link,http://www.nytimes.com/2016/10/31/business/international/canada-european-union-trade-agreement.html?smid=fb-nytimes&smtyp=cur,2016-10-30 11:25:00,1394,88,153
5281959998_1292351217476009,"It isn't as as American as apple pie, but tarte tatin is a whole lot easier.

Get the recipe from The New York Times Food: http://nyti.ms/1Jdq5Dn",How to Make Tarte Tatin,video,https://www.facebook.com/nytimes/videos/1292351217476009/,2016-10-30 10:55:00,3394,328,1552
5281959998_10150947525324999,"The Pirates want to pass the world's first ""crowd-sourced constitution,"" drafted by Icelandic civilians rather than politicians.","Iceland’s Prime Minister Resigns, After Pirate Party Makes Strong Gains",link,http://www.nytimes.com/2016/10/31/world/europe/icelands-prime-minister-resigns-after-pirate-party-makes-strong-gains.html?smid=fb-nytimes&smtyp=cur,2016-10-30 10:25:01,3529,170,1276
5281959998_10150947532309999,"The Cleveland Indians' Game 4 victory cast a pall over the Chicago Cubs' Wrigley Field. ""It's Gonna Happen"" might become ""It Is Happening Again.""",Indians Defeat Sloppy Cubs to Take a 3-1 World Series Lead,link,http://www.nytimes.com/2016/10/30/sports/baseball/world-series-cleveland-indians-chicago-cubs.html?smid=fb-nytimes&smtyp=cur,2016-10-30 10:10:00,359,46,48
5281959998_10150947518494999,"The Upshot poll shows Donald J. Trump with a 4-point lead over Hillary Clinton in Florida, 46% to 42% in a 4-way race.",Latest Upshot Poll Shows Trump With a Lead in Florida,link,http://www.nytimes.com/interactive/2016/10/30/upshot/florida-poll.html?smid=fb-nytimes&smtyp=cur,2016-10-30 09:55:00,795,532,430
5281959998_10150947513014999,An audience member at The Metropolitan Opera sprinkled a powdery substance into the orchestra pit. Police said they may have been the ashes of his mentor.,"Powder Tossed at Metropolitan Opera May Have Been Human Ashes, Police Say",link,http://www.nytimes.com/2016/10/30/nyregion/metropolitan-opera-cancels-performance-white-substance.html?smid=fb-nytimes&smtyp=cur,2016-10-30 09:40:14,414,117,338
5281959998_10150945136419999,"In one Hillary Clinton ad, young girls are looking at themselves in a mirror. Then Donald J. Trump is heard saying: ""A person who is flat-chested is very hard to be a 10.""","Ads That Use Candidates’ Own Words, to Powerful Effect",link,http://www.nytimes.com/2016/10/29/upshot/ads-that-use-candidates-own-words-to-powerful-effect.html?smid=fb-nytimes&smtyp=cur,2016-10-30 09:25:14,1547,214,100
5281959998_10150946610819999,"How first-time voters feel about the Hillary Clinton/Donald J. Trump election.

Read more from The New York Times Opinion Section.",I Registered to Vote...For This?,link,http://nyti.ms/2eYXlEe,2016-10-30 08:55:00,263,122,33
5281959998_10150945378374999,"New York in the 1970s had a reputation for being raucous and dangerous, but one photographer remembers it as ""quite vacant, at certain times, in certain places.”",Images of a Less Crowded New York,link,http://www.nytimes.com/2016/10/30/nyregion/images-of-a-less-crowded-new-york.html?smid=fb-nytimes&smtyp=cur,2016-10-30 08:25:00,459,19,59
5281959998_10150945207624999,Pecan. Pie. Truffles.,Pecan Pie Truffles Recipe,link,http://cooking.nytimes.com/recipes/1015214-pecan-pie-truffles?smid=fb-nytimes&smtyp=cur,2016-10-30 06:55:00,673,40,320
5281959998_10150945329194999,"“She transforms herself from a tramp to a mother to an artist — sometimes you can’t recognize her as the same person.""",Cate Blanchett Morphs a Dozen Times in ‘Manifesto’,link,http://www.nytimes.com/2016/10/30/arts/design/cate-blanchett-morphs-a-dozen-times-in-manifesto.html?smid=fb-nytimes&smtyp=cur,2016-10-30 05:25:00,2034,105,228
5281959998_10150946491074999,"""I have some education now,"" she told her father after he hit her with a glass. ""I know how a woman should live. I have also learned what is right and what is wrong""

Learn more from The New York Times Opinion Section.",Pashtana’s Lesson,link,http://nyti.ms/2f0wGqp,2016-10-30 03:55:00,2369,45,399
5281959998_10150946631714999,Tens of thousands of Greeks are fighting to save their homes from a sudden wave of repossessions .,Greek Homeowners Scramble as Repossession Looms: ‘It’s Like a Horror Movie’,link,http://nyti.ms/2eZ3EI3,2016-10-30 02:25:00,178,30,95
5281959998_10150946363054999,Halloween wasn’t always so scary. It used to be more about flirting and romance.,Boo? Halloween Used to Be About Finding True Love,link,http://nyti.ms/2fhrp1l,2016-10-29 23:25:00,1079,70,546
5281959998_10150946650409999,A Hillary Clinton adviser's private and profanity-laced commentary has made her something of a cult hero for Donald J. Trump supporters.,WikiLeaks Lays Bare a Clinton Insider’s Emphatic Cheers and Jeers,link,http://nyti.ms/2eZ3WhW,2016-10-29 21:55:00,782,252,98
5281959998_10150946344564999,"Brides in their 20s and 30s are saying no to the long white dress, the bridal bouquet and the veil.

(via The New York Times Styles)",The Breakaway Bride,link,http://nyti.ms/2fqGxsv,2016-10-29 20:25:00,1306,136,201
5281959998_10150946558539999,"""This entire election is being conducted in the key of hysteria, and Comey just found a way to amplify that ugly music,"" Frank Bruni writes in The New York Times Opinion Section.","Comey, Clinton and This Steaming Mess",link,http://nyti.ms/2eGTRaP,2016-10-29 18:55:02,1425,334,316
5281959998_10150946733814999,"Hillary Clinton, on the FBI director's letter to Congress: ""It's pretty strange to put something like that out with such little information right before an election.""

The full story: http://nyti.ms/2f32lpF",Hillary Clinton Criticizes FBI Letter on Emails,video,https://www.facebook.com/nytimes/videos/10150946733814999/,2016-10-29 18:25:00,9197,1201,1325
5281959998_10150946628164999,The Chicago Cubs closer threw 26 pitches as hard as 104 miles per hour. Two of them were put into play.,Unhittable? Aroldis Chapman and His 105 M.P.H. Fastball,link,http://nyti.ms/2emjUkD,2016-10-29 17:55:00,549,34,49
5281959998_10150946299799999,"He didn't just nail his 95 theses to a church door. He made pamphlets, wrote hymns and used illustrations.","Long Before Twitter, Martin Luther Was a Media Pioneer",link,http://nyti.ms/2f03kYV,2016-10-29 17:25:00,2260,105,822
5281959998_10150945206289999,Master your favorite fish.,How to Cook Salmon,link,http://cooking.nytimes.com/guides/19-how-to-cook-salmon?smid=fb-nytimes&smtyp=cur,2016-10-29 16:55:00,1403,137,637
